GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0007601	visual perception	9.26987852851911e-09	9.26987852851911e-09	+1	FBgn0000120,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0005664,FBgn0010350,FBgn0013725,FBgn0086367,FBgn0087005,FBgn0261714,FBgn0267252,FBgn0267435
GO:0048856	anatomical structure development	9.26987852851911e-09	9.26987852851911e-09	+1	FBgn0000008,FBgn0000042,FBgn0000061,FBgn0000064,FBgn0000108,FBgn0000150,FBgn0000181,FBgn0000253,FBgn0000261,FBgn0000273,FBgn0000299,FBgn0000308,FBgn0000370,FBgn0000527,FBgn0000611,FBgn0001105,FBgn0001114,FBgn0001122,FBgn0001125,FBgn0001197,FBgn0001257,FBgn0001258,FBgn0001942,FBgn0002940,FBgn0003137,FBgn0003162,FBgn0003301,FBgn0003326,FBgn0003334,FBgn0003514,FBgn0003520,FBgn0003997,FBgn0004101,FBgn0004507,FBgn0004509,FBgn0004574,FBgn0004636,FBgn0004784,FBgn0004907,FBgn0004921,FBgn0005593,FBgn0005664,FBgn0010105,FBgn0010348,FBgn0010350,FBgn0010380,FBgn0010452,FBgn0011481,FBgn0011591,FBgn0011695,FBgn0011760,FBgn0011826,FBgn0013469,FBgn0013725,FBgn0013726,FBgn0013765,FBgn0014141,FBgn0014859,FBgn0014869,FBgn0015222,FBgn0015399,FBgn0015754,FBgn0015777,FBgn0019972,FBgn0020767,FBgn0022382,FBgn0023179,FBgn0023518,FBgn0024326,FBgn0024921,FBgn0025741,FBgn0026084,FBgn0026206,FBgn0026409,FBgn0026439,FBgn0027111,FBgn0027339,FBgn0027491,FBgn0028662,FBgn0029175,FBgn0029687,FBgn0030090,FBgn0030718,FBgn0031294,FBgn0031820,FBgn0032336,FBgn0032773,FBgn0032840,FBgn0032876,FBgn0034135,FBgn0034476,FBgn0035049,FBgn0035236,FBgn0035871,FBgn0036165,FBgn0036880,FBgn0036881,FBgn0037107,FBgn0037468,FBgn0037671,FBgn0038880,FBgn0038916,FBgn0039054,FBgn0039081,FBgn0039141,FBgn0039380,FBgn0039411,FBgn0039528,FBgn0039562,FBgn0039928,FBgn0040208,FBgn0040281,FBgn0040505,FBgn0040532,FBgn0040653,FBgn0040752,FBgn0043362,FBgn0053138,FBgn0053196,FBgn0053556,FBgn0085424,FBgn0086367,FBgn0086677,FBgn0086904,FBgn0259108,FBgn0259834,FBgn0261648,FBgn0261714,FBgn0261722,FBgn0261986,FBgn0262732,FBgn0263930,FBgn0265297,FBgn0265623,FBgn0266599,FBgn0267002,FBgn0267435
GO:0023051	regulation of signaling	1.10471795350747e-08	1.10471795350747e-08	+1	FBgn0000120,FBgn0000253,FBgn0000261,FBgn0000273,FBgn0000346,FBgn0000370,FBgn0001105,FBgn0001257,FBgn0001263,FBgn0001942,FBgn0002622,FBgn0002938,FBgn0003218,FBgn0003301,FBgn0003514,FBgn0004179,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0004907,FBgn0005586,FBgn0011481,FBgn0011591,FBgn0013725,FBgn0015399,FBgn0015754,FBgn0016641,FBgn0016930,FBgn0019972,FBgn0020767,FBgn0022382,FBgn0024326,FBgn0024921,FBgn0024941,FBgn0026376,FBgn0026439,FBgn0028400,FBgn0028425,FBgn0029175,FBgn0031424,FBgn0032021,FBgn0032840,FBgn0033872,FBgn0033926,FBgn0034691,FBgn0035385,FBgn0035871,FBgn0036165,FBgn0037671,FBgn0038504,FBgn0038984,FBgn0039054,FBgn0039141,FBgn0039688,FBgn0039928,FBgn0040281,FBgn0040505,FBgn0040752,FBgn0041707,FBgn0086677,FBgn0261089,FBgn0261514,FBgn0263930,FBgn0267002
GO:0010646	regulation of cell communication	1.10471795350747e-08	1.10471795350747e-08	+1	FBgn0000120,FBgn0000253,FBgn0000261,FBgn0000273,FBgn0000346,FBgn0000370,FBgn0001105,FBgn0001257,FBgn0001263,FBgn0001942,FBgn0002622,FBgn0002938,FBgn0003218,FBgn0003301,FBgn0003514,FBgn0004179,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0004907,FBgn0005586,FBgn0011481,FBgn0011591,FBgn0013725,FBgn0015399,FBgn0015754,FBgn0016641,FBgn0016930,FBgn0019972,FBgn0020767,FBgn0022382,FBgn0024326,FBgn0024921,FBgn0024941,FBgn0026376,FBgn0026439,FBgn0028400,FBgn0028425,FBgn0029175,FBgn0031424,FBgn0032021,FBgn0032840,FBgn0033872,FBgn0033926,FBgn0034691,FBgn0035385,FBgn0035871,FBgn0036165,FBgn0037671,FBgn0038504,FBgn0038984,FBgn0039054,FBgn0039141,FBgn0039688,FBgn0039928,FBgn0040281,FBgn0040505,FBgn0040752,FBgn0041707,FBgn0086677,FBgn0261089,FBgn0261514,FBgn0263930,FBgn0267002
GO:0030182	neuron differentiation	1.28564228778799e-08	1.28564228778799e-08	+1	FBgn0000061,FBgn0000108,FBgn0000253,FBgn0000273,FBgn0000308,FBgn0000611,FBgn0001114,FBgn0001122,FBgn0001257,FBgn0002940,FBgn0003137,FBgn0003301,FBgn0003334,FBgn0003514,FBgn0003997,FBgn0004509,FBgn0004574,FBgn0004636,FBgn0010105,FBgn0010348,FBgn0010452,FBgn0011760,FBgn0013469,FBgn0013725,FBgn0013765,FBgn0014141,FBgn0015754,FBgn0019972,FBgn0022382,FBgn0023179,FBgn0024326,FBgn0025741,FBgn0027339,FBgn0027491,FBgn0030090,FBgn0034135,FBgn0034476,FBgn0035049,FBgn0035236,FBgn0037107,FBgn0037671,FBgn0039141,FBgn0039528,FBgn0040208,FBgn0040505,FBgn0040752,FBgn0043362,FBgn0085424,FBgn0086677,FBgn0259108,FBgn0261648,FBgn0261714,FBgn0261722,FBgn0263930,FBgn0265297,FBgn0266599,FBgn0267002,FBgn0267435
GO:0050953	sensory perception of light stimulus	1.50857593854589e-08	1.50857593854589e-08	+1	FBgn0000120,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0005664,FBgn0010350,FBgn0013725,FBgn0086367,FBgn0087005,FBgn0261714,FBgn0267252,FBgn0267435
GO:0032502	developmental process	1.69648347982456e-08	1.69648347982456e-08	+1	FBgn0000008,FBgn0000042,FBgn0000061,FBgn0000064,FBgn0000108,FBgn0000150,FBgn0000181,FBgn0000253,FBgn0000261,FBgn0000273,FBgn0000299,FBgn0000308,FBgn0000370,FBgn0000527,FBgn0000611,FBgn0001105,FBgn0001114,FBgn0001122,FBgn0001125,FBgn0001197,FBgn0001257,FBgn0001258,FBgn0001942,FBgn0002940,FBgn0003137,FBgn0003162,FBgn0003301,FBgn0003326,FBgn0003334,FBgn0003514,FBgn0003520,FBgn0003997,FBgn0004101,FBgn0004507,FBgn0004509,FBgn0004574,FBgn0004636,FBgn0004784,FBgn0004907,FBgn0004921,FBgn0005593,FBgn0005664,FBgn0010105,FBgn0010348,FBgn0010350,FBgn0010380,FBgn0010452,FBgn0011481,FBgn0011591,FBgn0011695,FBgn0011760,FBgn0011826,FBgn0013469,FBgn0013678,FBgn0013725,FBgn0013726,FBgn0013765,FBgn0014141,FBgn0014859,FBgn0014869,FBgn0015222,FBgn0015399,FBgn0015754,FBgn0015777,FBgn0019972,FBgn0020767,FBgn0022382,FBgn0023179,FBgn0023518,FBgn0024326,FBgn0024921,FBgn0025741,FBgn0026084,FBgn0026206,FBgn0026409,FBgn0026430,FBgn0026439,FBgn0027111,FBgn0027339,FBgn0027491,FBgn0028662,FBgn0029175,FBgn0029687,FBgn0030090,FBgn0030718,FBgn0031294,FBgn0031820,FBgn0032336,FBgn0032773,FBgn0032840,FBgn0032876,FBgn0034135,FBgn0034476,FBgn0035049,FBgn0035236,FBgn0035871,FBgn0036165,FBgn0036880,FBgn0036881,FBgn0037107,FBgn0037468,FBgn0037671,FBgn0038880,FBgn0038916,FBgn0038984,FBgn0039054,FBgn0039081,FBgn0039141,FBgn0039380,FBgn0039411,FBgn0039528,FBgn0039562,FBgn0039928,FBgn0040208,FBgn0040281,FBgn0040505,FBgn0040532,FBgn0040653,FBgn0040752,FBgn0043362,FBgn0053138,FBgn0053196,FBgn0053556,FBgn0085424,FBgn0086367,FBgn0086677,FBgn0086904,FBgn0259108,FBgn0259824,FBgn0259834,FBgn0261648,FBgn0261714,FBgn0261722,FBgn0261986,FBgn0262732,FBgn0263930,FBgn0265297,FBgn0265623,FBgn0266599,FBgn0267002,FBgn0267435
GO:0048731	system development	2.22668190941986e-08	2.22668190941986e-08	+1	FBgn0000008,FBgn0000061,FBgn0000108,FBgn0000150,FBgn0000253,FBgn0000261,FBgn0000273,FBgn0000299,FBgn0000308,FBgn0000611,FBgn0001105,FBgn0001114,FBgn0001122,FBgn0001125,FBgn0001257,FBgn0002940,FBgn0003137,FBgn0003162,FBgn0003301,FBgn0003326,FBgn0003334,FBgn0003514,FBgn0003520,FBgn0003997,FBgn0004101,FBgn0004509,FBgn0004574,FBgn0004636,FBgn0004784,FBgn0004907,FBgn0004921,FBgn0005664,FBgn0010105,FBgn0010348,FBgn0010350,FBgn0010380,FBgn0010452,FBgn0011591,FBgn0011760,FBgn0011826,FBgn0013469,FBgn0013725,FBgn0013726,FBgn0013765,FBgn0014141,FBgn0015754,FBgn0015777,FBgn0019972,FBgn0022382,FBgn0023179,FBgn0023518,FBgn0024326,FBgn0024921,FBgn0025741,FBgn0026084,FBgn0026409,FBgn0027339,FBgn0027491,FBgn0028662,FBgn0029687,FBgn0030090,FBgn0031294,FBgn0034135,FBgn0034476,FBgn0035049,FBgn0035236,FBgn0035871,FBgn0037107,FBgn0037468,FBgn0037671,FBgn0038916,FBgn0039054,FBgn0039081,FBgn0039141,FBgn0039380,FBgn0039411,FBgn0039528,FBgn0039562,FBgn0039928,FBgn0040208,FBgn0040505,FBgn0040532,FBgn0040752,FBgn0043362,FBgn0053196,FBgn0053556,FBgn0085424,FBgn0086677,FBgn0259108,FBgn0261648,FBgn0261714,FBgn0261722,FBgn0261986,FBgn0262732,FBgn0263930,FBgn0265297,FBgn0266599,FBgn0267002,FBgn0267435
GO:0007267	cell-cell signaling	4.65331062164613e-08	4.65331062164613e-08	+1	FBgn0000261,FBgn0000273,FBgn0000346,FBgn0001122,FBgn0003301,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0010348,FBgn0011481,FBgn0011582,FBgn0013342,FBgn0013725,FBgn0016930,FBgn0026439,FBgn0028400,FBgn0028425,FBgn0029175,FBgn0029687,FBgn0031424,FBgn0032021,FBgn0033872,FBgn0033876,FBgn0033926,FBgn0035385,FBgn0037671,FBgn0038984,FBgn0039054,FBgn0039141,FBgn0039928,FBgn0040505,FBgn0040752,FBgn0041707,FBgn0086677,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0263116,FBgn0263930,FBgn0265297,FBgn0266599,FBgn0266720,FBgn0267002
GO:0048699	generation of neurons	4.93289791093935e-08	4.93289791093935e-08	+1	FBgn0000061,FBgn0000108,FBgn0000253,FBgn0000273,FBgn0000308,FBgn0000611,FBgn0001105,FBgn0001114,FBgn0001122,FBgn0001257,FBgn0002940,FBgn0003137,FBgn0003301,FBgn0003334,FBgn0003514,FBgn0003520,FBgn0003997,FBgn0004509,FBgn0004574,FBgn0004636,FBgn0004921,FBgn0010105,FBgn0010348,FBgn0010452,FBgn0011760,FBgn0013469,FBgn0013725,FBgn0013765,FBgn0014141,FBgn0015754,FBgn0019972,FBgn0022382,FBgn0023179,FBgn0024326,FBgn0025741,FBgn0027339,FBgn0027491,FBgn0030090,FBgn0034135,FBgn0034476,FBgn0035049,FBgn0035236,FBgn0037107,FBgn0037671,FBgn0039141,FBgn0039528,FBgn0040208,FBgn0040505,FBgn0040752,FBgn0043362,FBgn0085424,FBgn0086677,FBgn0259108,FBgn0261648,FBgn0261714,FBgn0261722,FBgn0263930,FBgn0265297,FBgn0266599,FBgn0267002,FBgn0267435
GO:0048666	neuron development	7.57302531081463e-08	7.57302531081463e-08	+1	FBgn0000061,FBgn0000108,FBgn0000253,FBgn0000273,FBgn0000308,FBgn0000611,FBgn0001114,FBgn0001257,FBgn0002940,FBgn0003137,FBgn0003301,FBgn0003334,FBgn0003997,FBgn0004509,FBgn0004574,FBgn0010105,FBgn0010348,FBgn0010452,FBgn0011760,FBgn0013765,FBgn0014141,FBgn0015754,FBgn0019972,FBgn0022382,FBgn0024326,FBgn0025741,FBgn0027339,FBgn0027491,FBgn0030090,FBgn0034135,FBgn0034476,FBgn0035049,FBgn0035236,FBgn0037107,FBgn0039141,FBgn0039528,FBgn0040208,FBgn0040505,FBgn0040752,FBgn0043362,FBgn0085424,FBgn0086677,FBgn0259108,FBgn0261714,FBgn0263930,FBgn0265297,FBgn0266599,FBgn0267002,FBgn0267435
GO:0006810	transport	8.25623126561968e-08	8.25623126561968e-08	+1	FBgn0000120,FBgn0000181,FBgn0000253,FBgn0000273,FBgn0000308,FBgn0000346,FBgn0002938,FBgn0003218,FBgn0003514,FBgn0004179,FBgn0004381,FBgn0004574,FBgn0004636,FBgn0004784,FBgn0005586,FBgn0005671,FBgn0010105,FBgn0010348,FBgn0010380,FBgn0011828,FBgn0013278,FBgn0013342,FBgn0013674,FBgn0013684,FBgn0014141,FBgn0015222,FBgn0015245,FBgn0015754,FBgn0015777,FBgn0020255,FBgn0022097,FBgn0024921,FBgn0025684,FBgn0026409,FBgn0026439,FBgn0027610,FBgn0028400,FBgn0028425,FBgn0028662,FBgn0029687,FBgn0030435,FBgn0030718,FBgn0030791,FBgn0031064,FBgn0031294,FBgn0031307,FBgn0031424,FBgn0031649,FBgn0032021,FBgn0032689,FBgn0032946,FBgn0033132,FBgn0033872,FBgn0033876,FBgn0033926,FBgn0034691,FBgn0034911,FBgn0036316,FBgn0036319,FBgn0036461,FBgn0036984,FBgn0037386,FBgn0037387,FBgn0037533,FBgn0037671,FBgn0037690,FBgn0038641,FBgn0038659,FBgn0038890,FBgn0038984,FBgn0039054,FBgn0039081,FBgn0039637,FBgn0039915,FBgn0040281,FBgn0040752,FBgn0041707,FBgn0043005,FBgn0051105,FBgn0052446,FBgn0052506,FBgn0086784,FBgn0086904,FBgn0259108,FBgn0259164,FBgn0259173,FBgn0259824,FBgn0259834,FBgn0260795,FBgn0261089,FBgn0261514,FBgn0261722,FBgn0261986,FBgn0262512,FBgn0262515,FBgn0262736,FBgn0264753,FBgn0265262,FBgn0266599,FBgn0266720,FBgn0267002,FBgn0267330
GO:0051234	establishment of localization	8.63152276281411e-08	8.63152276281411e-08	+1	FBgn0000120,FBgn0000181,FBgn0000253,FBgn0000273,FBgn0000308,FBgn0000346,FBgn0002938,FBgn0003218,FBgn0003514,FBgn0004179,FBgn0004381,FBgn0004574,FBgn0004636,FBgn0004784,FBgn0005586,FBgn0005671,FBgn0010105,FBgn0010348,FBgn0010380,FBgn0011760,FBgn0011828,FBgn0013278,FBgn0013342,FBgn0013674,FBgn0013684,FBgn0014141,FBgn0015222,FBgn0015245,FBgn0015754,FBgn0015777,FBgn0020255,FBgn0022097,FBgn0024921,FBgn0025684,FBgn0026409,FBgn0026439,FBgn0027610,FBgn0028400,FBgn0028425,FBgn0028662,FBgn0029687,FBgn0030435,FBgn0030718,FBgn0030791,FBgn0031064,FBgn0031294,FBgn0031307,FBgn0031424,FBgn0031649,FBgn0032021,FBgn0032689,FBgn0032946,FBgn0033132,FBgn0033872,FBgn0033876,FBgn0033926,FBgn0034691,FBgn0034911,FBgn0036316,FBgn0036319,FBgn0036461,FBgn0036984,FBgn0037386,FBgn0037387,FBgn0037533,FBgn0037671,FBgn0037690,FBgn0038641,FBgn0038659,FBgn0038890,FBgn0038984,FBgn0039054,FBgn0039081,FBgn0039141,FBgn0039637,FBgn0039915,FBgn0040281,FBgn0040752,FBgn0041707,FBgn0043005,FBgn0051105,FBgn0052446,FBgn0052506,FBgn0086784,FBgn0086904,FBgn0259108,FBgn0259164,FBgn0259173,FBgn0259824,FBgn0259834,FBgn0260795,FBgn0261089,FBgn0261514,FBgn0261722,FBgn0261986,FBgn0262512,FBgn0262515,FBgn0262736,FBgn0264753,FBgn0265262,FBgn0266599,FBgn0266720,FBgn0267002,FBgn0267330
GO:0022008	neurogenesis	8.63152276281411e-08	8.63152276281411e-08	+1	FBgn0000061,FBgn0000108,FBgn0000253,FBgn0000273,FBgn0000308,FBgn0000611,FBgn0001105,FBgn0001114,FBgn0001122,FBgn0001257,FBgn0002940,FBgn0003137,FBgn0003301,FBgn0003334,FBgn0003514,FBgn0003520,FBgn0003997,FBgn0004509,FBgn0004574,FBgn0004636,FBgn0004921,FBgn0010105,FBgn0010348,FBgn0010452,FBgn0011760,FBgn0013469,FBgn0013725,FBgn0013765,FBgn0014141,FBgn0015754,FBgn0015777,FBgn0019972,FBgn0022382,FBgn0023179,FBgn0024326,FBgn0025741,FBgn0027339,FBgn0027491,FBgn0030090,FBgn0034135,FBgn0034476,FBgn0035049,FBgn0035236,FBgn0037107,FBgn0037671,FBgn0039141,FBgn0039528,FBgn0040208,FBgn0040505,FBgn0040752,FBgn0043362,FBgn0085424,FBgn0086677,FBgn0259108,FBgn0261648,FBgn0261714,FBgn0261722,FBgn0263930,FBgn0265297,FBgn0266599,FBgn0267002,FBgn0267435
GO:0051716	cellular response to stimulus	1.05618583738028e-07	1.05618583738028e-07	+1	FBgn0000100,FBgn0000120,FBgn0000253,FBgn0000261,FBgn0000273,FBgn0000299,FBgn0000308,FBgn0000370,FBgn0001105,FBgn0001122,FBgn0001197,FBgn0001218,FBgn0001257,FBgn0001263,FBgn0001942,FBgn0002622,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0003301,FBgn0003326,FBgn0003514,FBgn0003997,FBgn0004507,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0004907,FBgn0004921,FBgn0005586,FBgn0010348,FBgn0010350,FBgn0011481,FBgn0011582,FBgn0011591,FBgn0011826,FBgn0011828,FBgn0013278,FBgn0013725,FBgn0014859,FBgn0015245,FBgn0015399,FBgn0015754,FBgn0016641,FBgn0016930,FBgn0019972,FBgn0020767,FBgn0022382,FBgn0023179,FBgn0024326,FBgn0024921,FBgn0024941,FBgn0025741,FBgn0026376,FBgn0026439,FBgn0027111,FBgn0027491,FBgn0028400,FBgn0028425,FBgn0029175,FBgn0030437,FBgn0030670,FBgn0031770,FBgn0032336,FBgn0032840,FBgn0033132,FBgn0033639,FBgn0034476,FBgn0034691,FBgn0035385,FBgn0035499,FBgn0035871,FBgn0036165,FBgn0037301,FBgn0037671,FBgn0038504,FBgn0038511,FBgn0038659,FBgn0038880,FBgn0038984,FBgn0039054,FBgn0039141,FBgn0039562,FBgn0039634,FBgn0039688,FBgn0039915,FBgn0040281,FBgn0040505,FBgn0040752,FBgn0040813,FBgn0041707,FBgn0050158,FBgn0051760,FBgn0086677,FBgn0086784,FBgn0087005,FBgn0259231,FBgn0261089,FBgn0261514,FBgn0261564,FBgn0261986,FBgn0263029,FBgn0263116,FBgn0263930,FBgn0264753,FBgn0265262,FBgn0265605,FBgn0266599,FBgn0267252
GO:0098916	anterograde trans-synaptic signaling	1.12475021352354e-07	1.12475021352354e-07	+1	FBgn0000261,FBgn0000273,FBgn0000346,FBgn0003301,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0010348,FBgn0011582,FBgn0013342,FBgn0026439,FBgn0028400,FBgn0029687,FBgn0031424,FBgn0032021,FBgn0033872,FBgn0033876,FBgn0033926,FBgn0035385,FBgn0039141,FBgn0039928,FBgn0040505,FBgn0040752,FBgn0086677,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0263116,FBgn0265297,FBgn0266599,FBgn0266720
GO:0099504	synaptic vesicle cycle	1.12475021352354e-07	1.12475021352354e-07	+1	FBgn0000346,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0010348,FBgn0013342,FBgn0028400,FBgn0029687,FBgn0031424,FBgn0033876,FBgn0034691,FBgn0038659,FBgn0043005,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0261722,FBgn0266720
GO:0007268	chemical synaptic transmission	1.12475021352354e-07	1.12475021352354e-07	+1	FBgn0000261,FBgn0000273,FBgn0000346,FBgn0003301,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0010348,FBgn0011582,FBgn0013342,FBgn0026439,FBgn0028400,FBgn0029687,FBgn0031424,FBgn0032021,FBgn0033872,FBgn0033876,FBgn0033926,FBgn0035385,FBgn0039141,FBgn0039928,FBgn0040505,FBgn0040752,FBgn0086677,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0263116,FBgn0265297,FBgn0266599,FBgn0266720
GO:0050877	nervous system process	1.12475021352354e-07	1.12475021352354e-07	+1	FBgn0000108,FBgn0000120,FBgn0000253,FBgn0000273,FBgn0001122,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0003301,FBgn0003520,FBgn0004101,FBgn0004381,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0004907,FBgn0005664,FBgn0010350,FBgn0011582,FBgn0013725,FBgn0014141,FBgn0015777,FBgn0016930,FBgn0026439,FBgn0028397,FBgn0029974,FBgn0032233,FBgn0032946,FBgn0033268,FBgn0035016,FBgn0037671,FBgn0039141,FBgn0040505,FBgn0040752,FBgn0043005,FBgn0086367,FBgn0087005,FBgn0259108,FBgn0261648,FBgn0261714,FBgn0264753,FBgn0267252,FBgn0267435
GO:0003008	system process	1.12475021352354e-07	1.12475021352354e-07	+1	FBgn0000108,FBgn0000120,FBgn0000253,FBgn0000273,FBgn0000299,FBgn0001122,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0003301,FBgn0003520,FBgn0004101,FBgn0004381,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0004907,FBgn0004921,FBgn0005664,FBgn0010350,FBgn0011582,FBgn0013725,FBgn0014141,FBgn0015777,FBgn0016930,FBgn0026439,FBgn0028397,FBgn0029974,FBgn0032233,FBgn0032336,FBgn0032946,FBgn0033268,FBgn0033926,FBgn0035016,FBgn0035499,FBgn0037671,FBgn0039141,FBgn0040505,FBgn0040752,FBgn0043005,FBgn0086367,FBgn0087005,FBgn0259108,FBgn0261648,FBgn0261714,FBgn0264753,FBgn0267252,FBgn0267435
GO:0099003	vesicle-mediated transport in synapse	1.20875922775067e-07	1.20875922775067e-07	+1	FBgn0000346,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0010348,FBgn0013342,FBgn0028400,FBgn0029687,FBgn0031424,FBgn0033876,FBgn0034691,FBgn0038659,FBgn0043005,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0261722,FBgn0266720
GO:0099537	trans-synaptic signaling	1.24785885752843e-07	1.24785885752843e-07	+1	FBgn0000261,FBgn0000273,FBgn0000346,FBgn0003301,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0010348,FBgn0011582,FBgn0013342,FBgn0026439,FBgn0028400,FBgn0029687,FBgn0031424,FBgn0032021,FBgn0033872,FBgn0033876,FBgn0033926,FBgn0035385,FBgn0039141,FBgn0039928,FBgn0040505,FBgn0040752,FBgn0086677,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0263116,FBgn0265297,FBgn0266599,FBgn0266720
GO:0099536	synaptic signaling	1.68661378601493e-07	1.68661378601493e-07	+1	FBgn0000261,FBgn0000273,FBgn0000346,FBgn0003301,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0010348,FBgn0011582,FBgn0013342,FBgn0026439,FBgn0028400,FBgn0029687,FBgn0031424,FBgn0032021,FBgn0033872,FBgn0033876,FBgn0033926,FBgn0035385,FBgn0039141,FBgn0039928,FBgn0040505,FBgn0040752,FBgn0086677,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0263116,FBgn0265297,FBgn0266599,FBgn0266720
GO:0006812	cation transport	2.55486487935983e-07	2.55486487935983e-07	+1	FBgn0000253,FBgn0003218,FBgn0005671,FBgn0013674,FBgn0013684,FBgn0015222,FBgn0015777,FBgn0022097,FBgn0028400,FBgn0028425,FBgn0028662,FBgn0030718,FBgn0032021,FBgn0032689,FBgn0032946,FBgn0033872,FBgn0034911,FBgn0036461,FBgn0037533,FBgn0037671,FBgn0037690,FBgn0038641,FBgn0039081,FBgn0040752,FBgn0043005,FBgn0051105,FBgn0052446,FBgn0259824,FBgn0260795,FBgn0261089,FBgn0261722,FBgn0262512,FBgn0262515,FBgn0262736,FBgn0264753,FBgn0265262
GO:0009416	response to light stimulus	2.79386388283171e-07	2.79386388283171e-07	+1	FBgn0000120,FBgn0000153,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0003997,FBgn0004574,FBgn0004623,FBgn0004784,FBgn0010350,FBgn0011582,FBgn0016930,FBgn0030670,FBgn0033132,FBgn0037671,FBgn0086784,FBgn0087005,FBgn0267252
GO:0016056	rhodopsin mediated signaling pathway	4.71321744329063e-07	4.71321744329063e-07	+1	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0010350
GO:0098655	cation transmembrane transport	5.39903154659073e-07	5.39903154659073e-07	+1	FBgn0000253,FBgn0003218,FBgn0005671,FBgn0013674,FBgn0013684,FBgn0015222,FBgn0015777,FBgn0022097,FBgn0028425,FBgn0028662,FBgn0030718,FBgn0032021,FBgn0032689,FBgn0032946,FBgn0033872,FBgn0034911,FBgn0036461,FBgn0037533,FBgn0037671,FBgn0037690,FBgn0039081,FBgn0040752,FBgn0051105,FBgn0259824,FBgn0260795,FBgn0261722,FBgn0262512,FBgn0262515,FBgn0262736,FBgn0264753,FBgn0265262
GO:0007399	nervous system development	5.89393076506504e-07	5.89393076506504e-07	+1	FBgn0000061,FBgn0000108,FBgn0000253,FBgn0000273,FBgn0000308,FBgn0000611,FBgn0001105,FBgn0001114,FBgn0001122,FBgn0001125,FBgn0001257,FBgn0002940,FBgn0003137,FBgn0003301,FBgn0003326,FBgn0003334,FBgn0003514,FBgn0003520,FBgn0003997,FBgn0004509,FBgn0004574,FBgn0004636,FBgn0004907,FBgn0004921,FBgn0010105,FBgn0010348,FBgn0010452,FBgn0011760,FBgn0013469,FBgn0013725,FBgn0013765,FBgn0014141,FBgn0015754,FBgn0015777,FBgn0019972,FBgn0022382,FBgn0023179,FBgn0024326,FBgn0025741,FBgn0026084,FBgn0027339,FBgn0027491,FBgn0029687,FBgn0030090,FBgn0034135,FBgn0034476,FBgn0035049,FBgn0035236,FBgn0037107,FBgn0037671,FBgn0039141,FBgn0039528,FBgn0039928,FBgn0040208,FBgn0040505,FBgn0040752,FBgn0043362,FBgn0085424,FBgn0086677,FBgn0259108,FBgn0261648,FBgn0261714,FBgn0261722,FBgn0262732,FBgn0263930,FBgn0265297,FBgn0266599,FBgn0267002,FBgn0267435
GO:0007602	phototransduction	6.21610219221337e-07	6.21610219221337e-07	+1	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0010350,FBgn0030670,FBgn0086784,FBgn0087005,FBgn0267252
