query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection	enrichment
query_1	TRUE	0.0438367566626185	4	400	2	0.005	0.5	GO:0071244	GO:BP	cellular response to carbon dioxide	12797	19335	IGI,IMP	FBgn0024734,FBgn0267252	15.99625
query_1	TRUE	0.0438367566626185	4	400	2	0.005	0.5	GO:0097156	GO:BP	fasciculation of motor neuron axon	12797	21735	IMP,IMP	FBgn0035049,FBgn0043362	15.99625
query_1	TRUE	0.0438367566626185	4	400	2	0.005	0.5	GO:0015803	GO:BP	branched-chain amino acid transport	12797	5487	IMP,IMP	FBgn0028425,FBgn0037533	15.99625
query_1	TRUE	4.27339086792513e-06	14	400	7	0.0175	0.5	GO:0016059	GO:BP	deactivation of rhodopsin mediated signaling	12797	5679	IGI TAS NAS,IGI TAS,IMP,IMP TAS,IMP TAS,IMP TAS,IMP TAS	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0003218,FBgn0004623,FBgn0004784	15.99625
query_1	TRUE	0.00872087623744603	6	400	3	0.0075	0.5	GO:0150008	GO:BP	bulk synaptic vesicle endocytosis	12797	23212	IMP,IMP,IMP	FBgn0034691,FBgn0086784,FBgn0261722	15.99625
query_1	TRUE	0.00872087623744603	6	400	3	0.0075	0.5	GO:0071786	GO:BP	endoplasmic reticulum tubular network organization	12797	19780	IMP,IBA,IBA	FBgn0038453,FBgn0261564,FBgn0266449	15.99625
query_1	TRUE	6.99467145668878e-06	15	400	7	0.0175	0.466666666666667	GO:0022400	GO:BP	regulation of rhodopsin mediated signaling pathway	12797	7598	IGI TAS NAS,IGI TAS,IMP,IMP TAS,IMP TAS,IMP TAS,IMP TAS	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0003218,FBgn0004623,FBgn0004784	14.9298333333333
query_1	TRUE	2.56693584664945e-07	20	400	9	0.0225	0.45	GO:0016056	GO:BP	rhodopsin mediated signaling pathway	12797	5676	IGI TAS NAS,IMP IGI TAS,IMP,IMP TAS,IMP,IMP TAS,IMP TAS,IMP IGI TAS NAS,IMP	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0010350	14.396625
query_1	TRUE	0.0130751398283992	7	400	3	0.0075	0.428571428571429	GO:0150007	GO:BP	clathrin-dependent synaptic vesicle endocytosis	12797	23211	IMP,IMP,IMP	FBgn0034691,FBgn0038659,FBgn0261722	13.7110714285714
query_1	TRUE	0.0130751398283992	7	400	3	0.0075	0.428571428571429	GO:0090277	GO:BP	positive regulation of peptide hormone secretion	12797	21347	IMP,IMP,IMP	FBgn0028425,FBgn0038984,FBgn0267002	13.7110714285714
query_1	TRUE	0.0130751398283992	7	400	3	0.0075	0.428571428571429	GO:0042381	GO:BP	hemolymph coagulation	12797	11748	IDA,IMP,IDA IMP	FBgn0001114,FBgn0029167,FBgn0032773	13.7110714285714
query_1	TRUE	0.0175654376842411	8	400	3	0.0075	0.375	GO:0031629	GO:BP	synaptic vesicle fusion to presynaptic active zone membrane	12797	8423	IMP,ISS,IBA	FBgn0000346,FBgn0005586,FBgn0266720	11.9971875
query_1	TRUE	0.0175654376842411	8	400	3	0.0075	0.375	GO:0099500	GO:BP	vesicle fusion to plasma membrane	12797	22373	IMP,ISS,IBA	FBgn0000346,FBgn0005586,FBgn0266720	11.9971875
query_1	TRUE	0.0175654376842411	8	400	3	0.0075	0.375	GO:0010737	GO:BP	protein kinase A signaling	12797	4889	IBA,IMP,IBA	FBgn0000273,FBgn0003301,FBgn0022382	11.9971875
query_1	TRUE	0.0175654376842411	8	400	3	0.0075	0.375	GO:0030073	GO:BP	insulin secretion	12797	7720	IMP,IMP,IMP	FBgn0028425,FBgn0038984,FBgn0267002	11.9971875
query_1	TRUE	0.0175654376842411	8	400	3	0.0075	0.375	GO:0002793	GO:BP	positive regulation of peptide secretion	12797	1437	IMP,IMP,IMP	FBgn0028425,FBgn0038984,FBgn0267002	11.9971875
query_1	TRUE	0.0175654376842411	8	400	3	0.0075	0.375	GO:0031112	GO:BP	positive regulation of microtubule polymerization or depolymerization	12797	8185	IMP,IEA,IDA IMP IEA	FBgn0037301,FBgn0038916,FBgn0039141	11.9971875
query_1	TRUE	0.0175654376842411	8	400	3	0.0075	0.375	GO:0050796	GO:BP	regulation of insulin secretion	12797	15373	IMP,IMP,IMP	FBgn0028425,FBgn0038984,FBgn0267002	11.9971875
query_1	TRUE	2.10690873653634e-06	25	400	9	0.0225	0.36	GO:0007603	GO:BP	phototransduction, visible light	12797	3477	IGI TAS NAS,IMP IGI TAS,IMP,IMP TAS,IMP,IMP TAS,IMP TAS,IMP IGI TAS NAS,IMP	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0010350	11.5173
query_1	TRUE	0.00648004267011466	12	400	4	0.01	0.333333333333333	GO:0061343	GO:BP	cell adhesion involved in heart morphogenesis	12797	18122	IMP,IMP,IMP,IMP	FBgn0001105,FBgn0001122,FBgn0004921,FBgn0015777	10.6641666666667
query_1	TRUE	0.0226858369216676	9	400	3	0.0075	0.333333333333333	GO:0089718	GO:BP	amino acid import across plasma membrane	12797	21089	IMP,IDA,IMP	FBgn0028425,FBgn0034911,FBgn0037533	10.6641666666667
query_1	TRUE	0.0226858369216676	9	400	3	0.0075	0.333333333333333	GO:0046887	GO:BP	positive regulation of hormone secretion	12797	14470	IMP,IMP,IMP	FBgn0028425,FBgn0038984,FBgn0267002	10.6641666666667
query_1	TRUE	0.0226858369216676	9	400	3	0.0075	0.333333333333333	GO:0007599	GO:BP	hemostasis	12797	3473	IDA,IMP IEP,IDA IMP	FBgn0001114,FBgn0029167,FBgn0032773	10.6641666666667
query_1	TRUE	0.0226858369216676	9	400	3	0.0075	0.333333333333333	GO:0015804	GO:BP	neutral amino acid transport	12797	5488	IMP,IDA ISM,IMP	FBgn0028425,FBgn0034911,FBgn0037533	10.6641666666667
query_1	TRUE	0.0226858369216676	9	400	3	0.0075	0.333333333333333	GO:0050817	GO:BP	coagulation	12797	15388	IDA,IMP,IDA IMP	FBgn0001114,FBgn0029167,FBgn0032773	10.6641666666667
query_1	TRUE	0.0226858369216676	9	400	3	0.0075	0.333333333333333	GO:0071361	GO:BP	cellular response to ethanol	12797	19446	IMP,IMP,IMP	FBgn0000253,FBgn0000273,FBgn0022382	10.6641666666667
query_1	TRUE	0.0226858369216676	9	400	3	0.0075	0.333333333333333	GO:1900074	GO:BP	negative regulation of neuromuscular synaptic transmission	12797	23393	IMP,IMP,IMP	FBgn0039141,FBgn0040505,FBgn0086677	10.6641666666667
query_1	TRUE	3.31221400769403e-05	26	400	8	0.02	0.307692307692308	GO:0008277	GO:BP	regulation of G protein-coupled receptor signaling pathway	12797	3579	IMP IGI IBA TAS NAS,IGI TAS,IMP,IMP TAS,IMP TAS,IMP TAS,IMP TAS,ISS IEA	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0024941	9.84384615384615
query_1	TRUE	0.00837715229332942	13	400	4	0.01	0.307692307692308	GO:0015844	GO:BP	monoamine transport	12797	5526	IBA,IEA,IEA,IBA	FBgn0028400,FBgn0036319,FBgn0043005,FBgn0261089	9.84384615384615
query_1	TRUE	0.0281326202910818	10	400	3	0.0075	0.3	GO:0031038	GO:BP	myosin II filament organization	12797	8139	IMP,IMP,IMP	FBgn0001105,FBgn0003514,FBgn0004921	9.59775
query_1	TRUE	0.0281326202910818	10	400	3	0.0075	0.3	GO:0090328	GO:BP	regulation of olfactory learning	12797	21397	IMP,IMP,IMP	FBgn0003301,FBgn0011582,FBgn0040505	9.59775
query_1	TRUE	0.0281326202910818	10	400	3	0.0075	0.3	GO:0015800	GO:BP	acidic amino acid transport	12797	5484	IC,ISA,IMP	FBgn0026439,FBgn0031424,FBgn0085431	9.59775
query_1	TRUE	0.0110418295921931	14	400	4	0.01	0.285714285714286	GO:0015837	GO:BP	amine transport	12797	5519	IBA,IBA,IMP,IBA	FBgn0028400,FBgn0043005,FBgn0085431,FBgn0261089	9.14071428571429
query_1	TRUE	0.035465572298465	11	400	3	0.0075	0.272727272727273	GO:0051952	GO:BP	regulation of amine transport	12797	16260	IBA,IMP,IBA	FBgn0028400,FBgn0085431,FBgn0261089	8.72522727272727
query_1	TRUE	0.035465572298465	11	400	3	0.0075	0.272727272727273	GO:0007035	GO:BP	vacuolar acidification	12797	2966	IDA,IMP,ISS	FBgn0005671,FBgn0262736,FBgn0265262	8.72522727272727
query_1	TRUE	0.035465572298465	11	400	3	0.0075	0.272727272727273	GO:0048082	GO:BP	regulation of adult chitin-containing cuticle pigmentation	12797	14580	IMP IGI,IGI,IGI	FBgn0000527,FBgn0014859,FBgn0024326	8.72522727272727
query_1	TRUE	0.035465572298465	11	400	3	0.0075	0.272727272727273	GO:0036466	GO:BP	synaptic vesicle recycling via endosome	12797	11111	IMP,IMP,IMP	FBgn0034691,FBgn0038659,FBgn0261722	8.72522727272727
query_1	TRUE	0.0130751398283992	15	400	4	0.01	0.266666666666667	GO:0016082	GO:BP	synaptic vesicle priming	12797	5699	NAS,NAS,NAS,IBA	FBgn0000346,FBgn0004574,FBgn0029687,FBgn0266720	8.53133333333333
query_1	TRUE	0.00432525821416239	19	400	5	0.0125	0.263157894736842	GO:0048678	GO:BP	response to axon injury	12797	15023	IMP,IMP,IMP,IGI,IMP	FBgn0000108,FBgn0000273,FBgn0000308,FBgn0039141,FBgn0087005	8.41907894736842
query_1	TRUE	1.05234433501209e-08	62	400	16	0.04	0.258064516129032	GO:0007601	GO:BP	visual perception	12797	3475	IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IC,IEA,IEA,IMP,IEA,IEA,IEA,IEA	FBgn0000120,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0005664,FBgn0010350,FBgn0013725,FBgn0086367,FBgn0087005,FBgn0261714,FBgn0267252,FBgn0267435	8.25612903225807
query_1	TRUE	0.0156097479890707	16	400	4	0.01	0.25	GO:1990573	GO:BP	potassium ion import across plasma membrane	12797	29013	IBA,IBA,IBA,IBA	FBgn0015777,FBgn0032689,FBgn0032946,FBgn0039081	7.998125
query_1	TRUE	0.00534994263971676	20	400	5	0.0125	0.25	GO:0048067	GO:BP	cuticle pigmentation	12797	14566	IMP IGI,IMP,IGI,IGI,IMP	FBgn0000527,FBgn0003162,FBgn0014859,FBgn0024326,FBgn0086367	7.998125
query_1	TRUE	0.0432400293956548	12	400	3	0.0075	0.25	GO:0008089	GO:BP	anterograde axonal transport	12797	3539	IMP IEP,IMP,IMP	FBgn0004381,FBgn0040281,FBgn0267002	7.998125
query_1	TRUE	0.0432400293956548	12	400	3	0.0075	0.25	GO:0055075	GO:BP	potassium ion homeostasis	12797	16830	IBA,IBA,IBA	FBgn0015777,FBgn0032689,FBgn0032946	7.998125
query_1	TRUE	0.0432400293956548	12	400	3	0.0075	0.25	GO:0007615	GO:BP	anesthesia-resistant memory	12797	3488	IMP,IMP,IMP	FBgn0000273,FBgn0003301,FBgn0264753	7.998125
query_1	TRUE	0.0432400293956548	12	400	3	0.0075	0.25	GO:0043090	GO:BP	amino acid import	12797	12172	IMP,IDA,IMP	FBgn0028425,FBgn0034911,FBgn0037533	7.998125
query_1	TRUE	1.56652049693081e-08	65	400	16	0.04	0.246153846153846	GO:0050953	GO:BP	sensory perception of light stimulus	12797	15512	IEA,IMP IEA,IEA,IEA,IEA,IEA,IEA,IMP IEA,IC,IEA,IEA,IMP,IEA,IEA,IEA,IEA	FBgn0000120,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004636,FBgn0004784,FBgn0005664,FBgn0010350,FBgn0013725,FBgn0086367,FBgn0087005,FBgn0261714,FBgn0267252,FBgn0267435	7.87507692307692
query_1	TRUE	4.35922329836679e-07	53	400	13	0.0325	0.245283018867925	GO:0007602	GO:BP	phototransduction	12797	3476	IGI TAS NAS,IMP IGI TAS,IPI IMP,IMP TAS,IMP ISS IBA NAS IEA,IMP TAS,IDA IMP TAS,IMP IGI TAS NAS,IMP IGI NAS,IMP,IMP,IMP,IPI	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0010350,FBgn0030670,FBgn0086784,FBgn0087005,FBgn0267252	7.84721698113208
query_1	TRUE	1.64348988033131e-05	41	400	10	0.025	0.24390243902439	GO:0071482	GO:BP	cellular response to light stimulus	12797	19559	IGI TAS NAS,IMP IGI TAS,IMP,IMP TAS,IMP IBA,IMP TAS,IMP TAS,IMP IGI TAS NAS,IMP,IMP	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0010350,FBgn0033132	7.80304878048781
query_1	TRUE	5.2969325853403e-05	37	400	9	0.0225	0.243243243243243	GO:0009584	GO:BP	detection of visible light	12797	3974	IGI TAS NAS,IMP IGI TAS,IMP,IMP TAS,IMP,IMP TAS,IMP TAS,IMP IGI TAS NAS,IMP	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0010350	7.78195945945946
query_1	TRUE	0.0186263013691146	17	400	4	0.01	0.235294117647059	GO:0050714	GO:BP	positive regulation of protein secretion	12797	15323	IMP,IMP,IMP,IMP	FBgn0028425,FBgn0038984,FBgn0259824,FBgn0267002	7.52764705882353
query_1	TRUE	7.89196176216575e-05	39	400	9	0.0225	0.230769230769231	GO:0098739	GO:BP	import across plasma membrane	12797	22124	IMP,IBA,IMP,IBA,IBA,IDA,IMP IBA,IMP,IBA	FBgn0015222,FBgn0015777,FBgn0028425,FBgn0032689,FBgn0032946,FBgn0034911,FBgn0036461,FBgn0037533,FBgn0039081	7.38288461538462
query_1	TRUE	0.00251846274533176	26	400	6	0.015	0.230769230769231	GO:0050806	GO:BP	positive regulation of synaptic transmission	12797	15381	IMP,IMP,IMP,IBA,IBA,IMP	FBgn0031424,FBgn0035385,FBgn0039141,FBgn0039928,FBgn0040752,FBgn0085431	7.38288461538462
query_1	TRUE	0.0078582723757576	22	400	5	0.0125	0.227272727272727	GO:0031644	GO:BP	regulation of nervous system process	12797	8435	IMP,IMP,IMP,IMP,IBA	FBgn0003301,FBgn0011582,FBgn0026439,FBgn0040505,FBgn0040752	7.27102272727273
query_1	TRUE	0.0078582723757576	22	400	5	0.0125	0.227272727272727	GO:1902475	GO:BP	L-alpha-amino acid transmembrane transport	12797	25649	IC IEA,IMP,ISA,IDA,IMP	FBgn0026439,FBgn0028425,FBgn0031424,FBgn0034911,FBgn0037533	7.27102272727273
query_1	TRUE	1.29508223044929e-06	58	400	13	0.0325	0.224137931034483	GO:0009583	GO:BP	detection of light stimulus	12797	3973	IGI TAS NAS,IMP IGI TAS,IPI IMP,IMP TAS,IMP ISS IBA NAS IEA,IMP TAS,IDA IMP TAS,IMP IGI TAS NAS,IMP IGI NAS,IMP,IMP,IMP,IPI	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0004623,FBgn0004784,FBgn0010350,FBgn0030670,FBgn0086784,FBgn0087005,FBgn0267252	7.17073275862069
query_1	TRUE	1.29508223044929e-06	58	400	13	0.0325	0.224137931034483	GO:0016079	GO:BP	synaptic vesicle exocytosis	12797	5696	IMP NAS,ISS,NAS,IBA,ISS,ISS,ISS,NAS,ISS,IMP,IMP,IBA,IBA	FBgn0000346,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0013342,FBgn0028400,FBgn0029687,FBgn0033876,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0266720	7.17073275862069
query_1	TRUE	0.021866440625571	18	400	4	0.01	0.222222222222222	GO:0071241	GO:BP	cellular response to inorganic substance	12797	19332	IGI,IBA,IBA,IMP	FBgn0024734,FBgn0028400,FBgn0261089,FBgn0267252	7.10944444444444
query_1	TRUE	0.00304901350349219	27	400	6	0.015	0.222222222222222	GO:1900073	GO:BP	regulation of neuromuscular synaptic transmission	12797	23392	IGI,IGI,IMP,IMP,IMP,IMP	FBgn0000346,FBgn0004179,FBgn0031424,FBgn0039141,FBgn0040505,FBgn0086677	7.10944444444444
query_1	TRUE	4.48197447013889e-05	46	400	10	0.025	0.217391304347826	GO:0098657	GO:BP	import into cell	12797	22069	IMP,IBA,IMP,IBA,IBA,IDA,IMP IBA,IMP,IBA,IEA	FBgn0015222,FBgn0015777,FBgn0028425,FBgn0032689,FBgn0032946,FBgn0034911,FBgn0036461,FBgn0037533,FBgn0039081,FBgn0043005	6.95489130434783
query_1	TRUE	0.0250595654051667	19	400	4	0.01	0.210526315789474	GO:0046883	GO:BP	regulation of hormone secretion	12797	14466	IMP,IMP,IBA,IMP	FBgn0028425,FBgn0038984,FBgn0041707,FBgn0267002	6.73526315789474
query_1	TRUE	0.0250595654051667	19	400	4	0.01	0.210526315789474	GO:0035147	GO:BP	branch fusion, open tracheal system	12797	10205	IMP,IMP,IMP IEP,IMP	FBgn0010452,FBgn0038916,FBgn0039411,FBgn0053556	6.73526315789474
query_1	TRUE	0.0250595654051667	19	400	4	0.01	0.210526315789474	GO:0035146	GO:BP	tube fusion	12797	10204	IMP,IMP,IMP IEP,IMP	FBgn0010452,FBgn0038916,FBgn0039411,FBgn0053556	6.73526315789474
query_1	TRUE	0.0250595654051667	19	400	4	0.01	0.210526315789474	GO:0050805	GO:BP	negative regulation of synaptic transmission	12797	15380	IBA,IMP,IMP,IMP	FBgn0004636,FBgn0039141,FBgn0040505,FBgn0086677	6.73526315789474
query_1	TRUE	0.0250595654051667	19	400	4	0.01	0.210526315789474	GO:0042026	GO:BP	protein refolding	12797	11529	IBA,IBA,IEA,IBA	FBgn0001218,FBgn0013278,FBgn0015245,FBgn0266599	6.73526315789474
query_1	TRUE	2.69252416691059e-06	62	400	13	0.0325	0.209677419354839	GO:0045055	GO:BP	regulated exocytosis	12797	13142	IMP NAS,ISS,NAS,IBA,ISS,ISS,ISS IBA,NAS,ISS,IMP,IMP,IBA,IBA	FBgn0000346,FBgn0004179,FBgn0004574,FBgn0004636,FBgn0005586,FBgn0013342,FBgn0028400,FBgn0029687,FBgn0033876,FBgn0086784,FBgn0259824,FBgn0261089,FBgn0266720	6.70810483870968
query_1	TRUE	0.00432525821416239	29	400	6	0.015	0.206896551724138	GO:0098659	GO:BP	inorganic cation import across plasma membrane	12797	22071	IMP,IBA,IBA,IBA,IMP IBA,IBA	FBgn0015222,FBgn0015777,FBgn0032689,FBgn0032946,FBgn0036461,FBgn0039081	6.61913793103448
query_1	TRUE	0.00432525821416239	29	400	6	0.015	0.206896551724138	GO:0099587	GO:BP	inorganic ion import across plasma membrane	12797	22427	IMP,IBA,IBA,IBA,IMP IBA,IBA	FBgn0015222,FBgn0015777,FBgn0032689,FBgn0032946,FBgn0036461,FBgn0039081	6.61913793103448
query_1	TRUE	0.0281326202910818	20	400	4	0.01	0.2	GO:0048489	GO:BP	synaptic vesicle transport	12797	14864	TAS,IMP IGI,IMP,IMP	FBgn0004574,FBgn0033876,FBgn0040281,FBgn0267002	6.3985
query_1	TRUE	0.0281326202910818	20	400	4	0.01	0.2	GO:0050772	GO:BP	positive regulation of axonogenesis	12797	15355	IMP,IMP,IBA,IGI	FBgn0000308,FBgn0015754,FBgn0025741,FBgn0039141	6.3985
query_1	TRUE	0.0281326202910818	20	400	4	0.01	0.2	GO:0046879	GO:BP	hormone secretion	12797	14462	IMP,IMP,IBA,IMP	FBgn0028425,FBgn0038984,FBgn0041707,FBgn0267002	6.3985
query_1	TRUE	0.0140795657934319	26	400	5	0.0125	0.192307692307692	GO:0098930	GO:BP	axonal transport	12797	22231	IMP IEP,IMP IBA,IMP,IMP,IMP	FBgn0004381,FBgn0015754,FBgn0037671,FBgn0040281,FBgn0267002	6.15240384615385
query_1	TRUE	0.0140795657934319	26	400	5	0.0125	0.192307692307692	GO:0006757	GO:BP	ATP generation from ADP	12797	2733	IDA IBA IEA,ISS IBA IEA,IEP IBA IEA,IBA IEA,IEA	FBgn0000064,FBgn0000579,FBgn0001092,FBgn0003074,FBgn0014869	6.15240384615385
query_1	TRUE	0.0140795657934319	26	400	5	0.0125	0.192307692307692	GO:0006096	GO:BP	glycolytic process	12797	2133	IDA IBA IEA,ISS IBA IEA,IEP IBA IEA,IBA IEA,IEA	FBgn0000064,FBgn0000579,FBgn0001092,FBgn0003074,FBgn0014869	6.15240384615385
query_1	TRUE	0.0140795657934319	26	400	5	0.0125	0.192307692307692	GO:0046031	GO:BP	ADP metabolic process	12797	13775	IDA IBA IEA,ISS IBA IEA,IEP IBA IEA,IBA IEA,IEA	FBgn0000064,FBgn0000579,FBgn0001092,FBgn0003074,FBgn0014869	6.15240384615385
query_1	TRUE	0.0326321011100374	21	400	4	0.01	0.19047619047619	GO:0009914	GO:BP	hormone transport	12797	4243	IMP,IMP,IBA,IMP	FBgn0028425,FBgn0038984,FBgn0041707,FBgn0267002	6.09380952380952
query_1	TRUE	0.0326321011100374	21	400	4	0.01	0.19047619047619	GO:0007317	GO:BP	regulation of pole plasm oskar mRNA localization	12797	3221	IMP,IMP,IGI,IMP	FBgn0000181,FBgn0000273,FBgn0003520,FBgn0004574	6.09380952380952
query_1	TRUE	0.0326321011100374	21	400	4	0.01	0.19047619047619	GO:0071711	GO:BP	basement membrane organization	12797	19746	IMP,IMP,IMP,IMP	FBgn0000299,FBgn0011828,FBgn0030670,FBgn0035049	6.09380952380952
query_1	TRUE	0.00682320604439579	32	400	6	0.015	0.1875	GO:0006165	GO:BP	nucleoside diphosphate phosphorylation	12797	2194	IDA IBA IEA,IMP IEA,ISS IBA IEA,IEP IBA IEA,IBA IEA,IEA	FBgn0000064,FBgn0000150,FBgn0000579,FBgn0001092,FBgn0003074,FBgn0014869	5.99859375
query_1	TRUE	5.98067708157721e-05	59	400	11	0.0275	0.186440677966102	GO:0071478	GO:BP	cellular response to radiation	12797	19555	IGI TAS NAS,IMP IGI TAS,IMP,IMP TAS,IMP IBA,IMP TAS,IMP,IMP TAS,IMP IGI TAS NAS,IMP,IMP	FBgn0000120,FBgn0000253,FBgn0001263,FBgn0002938,FBgn0002940,FBgn0003218,FBgn0003997,FBgn0004623,FBgn0004784,FBgn0010350,FBgn0033132	5.96470338983051
query_1	TRUE	0.0161652852993574	27	400	5	0.0125	0.185185185185185	GO:2001257	GO:BP	regulation of cation channel activity	12797	30399	IDA,IEA,IEA,IBA,IDA	FBgn0000253,FBgn0032021,FBgn0033872,FBgn0040752,FBgn0264753	5.92453703703704
